bias,weight low,weight high
0.12,1.01,2.54
0.13,1.01,2.54
0.14,1.01,2.55
0.15,1.01,2.55
0.16,1.01,2.55
0.17,1.01,2.56
0.18,1.01,2.56
0.19,1.01,2.56
0.2,1.01,2.57
0.21,1.01,2.57
0.22,1.01,2.58
0.23,1.01,2.58
0.24,1.01,2.58
0.25,1.01,2.59
0.26,1.01,2.59
0.27,1.01,2.59
0.28,1.01,2.6
0.29,1.01,2.6
0.3,1.01,2.6
0.31,1.01,2.61
0.32,1.01,2.61
0.33,1.01,2.62
0.34,1.01,2.62
0.35000000000000003,1.01,2.62
0.36,1.01,2.63
0.37,1.01,2.63
0.38,1.01,2.63
0.39,1.01,2.64
0.4,1.01,2.64
0.41000000000000003,1.01,2.65
0.42,1.01,2.65
0.43,1.01,2.65
0.44,1.01,2.66
0.45,1.01,2.66
0.46,1.01,2.67
0.47000000000000003,1.01,2.67
0.48,1.01,2.67
0.49,1.01,2.68
0.5,1.01,2.68
0.51,1.01,2.69
0.52,1.01,2.69
0.53,1.01,2.7
0.54,1.01,2.7
0.55,1.01,2.7
0.56,1.01,2.71
0.5700000000000001,1.01,2.71
0.58,1.01,2.72
0.59,1.01,2.72
0.6,1.01,2.72
0.61,1.01,2.73
0.62,1.01,2.73
0.63,1.01,2.74
0.64,1.01,2.74
0.65,1.01,2.75
0.66,1.01,2.75
0.67,1.01,2.76
0.68,1.01,2.76
0.6900000000000001,1.01,2.76
0.7000000000000001,1.01,2.77
0.71,1.01,2.77
0.72,1.01,2.78
0.73,1.01,2.78
0.74,1.01,2.79
0.75,1.01,2.79
0.76,1.01,2.8
0.77,1.01,2.8
0.78,1.01,2.81
0.79,1.01,2.81
0.8,1.01,2.82
0.81,1.01,2.82
0.8200000000000001,1.01,2.82
0.8300000000000001,1.01,2.83
0.84,1.01,2.83
0.85,1.01,2.84
0.86,1.01,2.84
0.87,1.01,2.85
0.88,1.01,2.85
0.89,1.01,2.86
0.9,1.01,2.86
0.91,1.01,2.87
0.92,1.01,2.87
0.93,1.01,2.88
0.9400000000000001,1.01,2.88
0.9500000000000001,1.01,2.89
0.96,1.01,2.9
0.97,1.01,2.9
0.98,1.01,2.91
0.99,1.01,2.91
1.0,1.01,2.92
1.01,1.01,2.92
1.02,1.01,2.93
1.03,1.01,2.93
1.04,1.01,2.94
1.05,1.01,2.94
1.06,1.01,2.95
1.07,1.01,2.95
1.08,1.01,2.96
1.09,1.01,2.97
1.1,1.01,2.97
1.11,1.01,2.98
1.12,1.01,2.98
